platform,device,suite,source,document_type,language,method,backend,status,initialization_seconds,warm_median_seconds,warm_range_seconds,warm_operation_counts,peak_process_rss_mib,pytorch_allocator_peak_mib,pytorch_allocator_peak_status,cer,cer_ns,cer_bag
ubuntu-gtx1060,cpu,format,image-jpg.jpg,image,latin,ocr,rapidocr,success,,2.097662543,0.06567160700000008,1;1;1,2133.35546875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-png.png,image,latin,docling+ocr,docling+ocr,success,,1.664778218,0.05288468000000002,1;1;1,2155.71484375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-png.png,image,latin,ocr,rapidocr,success,,2.162954718,0.524194158,1;1;1;1;1;1;1,2168.0703125,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-tif.tif,image,latin,docling+ocr,docling+ocr,success,,1.728471008,0.09331047600000009,1;1;1,2050.67578125,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-tif.tif,image,latin,ocr,rapidocr,success,,2.20044516,1.173367808,1;1;1;1;1;1;1,2113.27734375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-tiff.tiff,image,latin,docling+ocr,docling+ocr,success,,1.722537753,0.03773425600000002,1;1;1,1997.43359375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-tiff.tiff,image,latin,ocr,rapidocr,success,,2.095341601,0.43101073099999976,1;1;1;1;1;1;1,2117.6640625,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-webp.webp,image,latin,docling+ocr,docling+ocr,success,,1.692233095,0.044123152999999915,1;1;1,2065.7265625,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,image-webp.webp,image,latin,ocr,rapidocr,success,,2.244431221,0.11606235600000003,1;1;1,2078.05859375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,markdown.md,direct-text,,default,plain,success,,0.00011759454327375351,0.00010897807296569586,1109;2104;2144;2104;2147;2126;2129,2032.9765625,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,pdf-born-digital.pdf,born-digital-pdf,,default,pypdfium2,success,,0.0008873631737588652,4.513208445709629e-06,282;284;282,2034.06640625,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,pdf-born-digital.pdf,born-digital-pdf,,docling,docling,success,5.358989346,0.480266765,0.07415772999999998,1;1;1;1;1;1;1,2303.59375,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,pdf-scanned.pdf,scanned-pdf,latin,docling+ocr,docling+ocr,success,,1.697497352,0.01893423400000005,1;1;1,2431.23046875,,not-applicable-for-cpu,,,
ubuntu-gtx1060,cpu,format,pdf-scanned.pdf,scanned-pdf,latin,ocr,rapidocr,success,,2.121510747,0.46191227199999974,1;1;1;1;1;1;1,2412.91796875,,not-applicable-for-cpu,,,
